"Name","overallMeanByCpGacross50data"
"cg00262415",0.037637239
"cg00263723",0.031679876
"cg00263760",0.098105771
"cg00265415",0.028177928
"cg00265490",0.083384011
"cg00268009",0.032257214
"cg00268338",0.033975252
"cg00269115",0.031386116
"cg00269932",0.859262168
"cg00273068",0.182871422
"cg00273124",0.825035783
"cg00274399",0.063227262
"cg00275232",0.035253916
"cg00276797",0.038726122
"cg00278366",0.431244424
"cg00279797",0.173229589
"cg00280814",0.779607467
"cg00280894",0.609577914
"cg00282347",0.103676774
"cg00282683",0.036259225
"cg00283535",0.656101867
"cg00288562",0.038626375
"cg00290028",0.03161591
"cg00290506",0.038640912
"cg00291877",0.086685755
"cg00292662",0.062745548
"cg00292971",0.559195386
"cg00293409",0.067163308
"cg00294382",0.259286252
"cg00295206",0.045657502
"cg00295325",0.700317062
"cg00296685",0.100207379
"cg00297584",0.08818985
"cg00297600",0.480465091
"cg00298357",0.870575222
"cg00298951",0.690614156
"cg00301864",0.016843101
"cg00302793",0.050334483
"cg00303548",0.035397239
"cg00304278",0.081330263
"cg00307685",0.872502374
"cg00308133",0.018996563
"cg00308665",0.46875837
"cg00309056",0.052859167
"cg00309204",0.041282339
"cg00311768",0.624250146
"cg00312919",0.040209931
"cg00314943",0.815115607
"cg00315936",0.103447722
"cg00317680",0.106747888
"cg00318573",0.242127647
"cg00318865",0.036982407
"cg00319692",0.734818954
"cg00319761",0.023334327
"cg00320243",0.039037973
"cg00321065",0.042872129
"cg00321478",0.683930791
"cg00323915",0.470556238
"cg00324733",0.044704621
"cg00325491",0.696833689
"cg00327185",0.103376965
"cg00327483",0.915731686
"cg00328227",0.382742432
"cg00331237",0.070400194
"cg00331433",0.055956446
"cg00332153",0.196318039
"cg00332745",0.044920549
"cg00333226",0.117437424
"cg00333528",0.381436553
"cg00334507",0.609499061
"cg00335286",0.455413053
"cg00336605",0.057082524
"cg00338702",0.089871317
"cg00338893",0.045535616
"cg00340102",0.162088804
"cg00342530",0.495736348
"cg00343092",0.12882354
"cg00344358",0.902853267
"cg00344372",0.768805072
"cg00344709",0.805442124
"cg00346145",0.091819408
"cg00347729",0.561262886
"cg00347904",0.118784967
"cg00350296",0.327550285
"cg00350478",0.669257247
"cg00350702",0.041449912
"cg00351011",0.044917374
"cg00353953",0.277817449
"cg00354258",0.843104884
"cg00354572",0.11607669
"cg00355802",0.056816972
"cg00359325",0.057531188
"cg00359973",0.061329641
"cg00363813",0.248400844
"cg00364344",0.038630039
"cg00364814",0.79056467
"cg00365193",0.152979224
"cg00367281",0.739910852
"cg00367438",0.080624283
"cg00368022",0.049386572
"cg00368415",0.029105915
"cg00371195",0.882497119
"cg00374717",0.843191962
"cg00375964",0.059358725
"cg00376639",0.099866685
"cg00380464",0.055827994
"cg00381076",0.047644424
"cg00382515",0.038075274
"cg00382991",0.064471646
"cg00384537",0.791395467
"cg00386408",0.158329428
"cg00387170",0.083323193
"cg00392257",0.565332759
"cg00393585",0.108385179
"cg00394658",0.284643855
"cg00396163",0.044505278
"cg00396894",0.706445815
"cg00397545",0.407038725
"cg00397740",0.053562194
"cg00398048",0.276247095
"cg00399483",0.156768307
"cg00400028",0.288368938
"cg00400263",0.930977983
"cg00401678",0.42921385
"cg00402366",0.060038281
"cg00403724",0.597788987
"cg00404599",0.250803481
"cg00405070",0.051006223
"cg00405568",0.064885554
"cg00405677",0.067211245
"cg00406188",0.751119632
"cg00406844",0.784302774
"cg00407150",0.690348011
"cg00410419",0.050385455
"cg00410576",0.041022937
"cg00410831",0.846574148
"cg00410895",0.798048495
"cg00410898",0.132192273
"cg00410921",0.339233301
"cg00411097",0.402222025
"cg00412772",0.60247312
"cg00412805",0.911157086
"cg00413066",0.871280047
"cg00415164",0.072424224
"cg00415494",0.862827608
"cg00415978",0.09181434
"cg00415993",0.412662801
"cg00417297",0.036149476
"cg00418150",0.43859582
"cg00419564",0.05087578
"cg00420568",0.097416945
"cg00420715",0.034767726
"cg00420929",0.438332372
"cg00422913",0.056490386
"cg00424946",0.036082535
"cg00425710",0.763915215
"cg00425792",0.078910343
"cg00426056",0.040163007
"cg00426498",0.19786511
"cg00426963",0.043135321
"cg00427635",0.349329243
"cg00429618",0.223997677
"cg00430287",0.670175221
"cg00430945",0.064855863
"cg00431050",0.491895671
"cg00431114",0.259849237
"cg00431549",0.346544466
"cg00432979",0.033470312
"cg00433406",0.794483682
"cg00434413",0.94825439
"cg00435408",0.066174314
"cg00436282",0.786993521
"cg00436301",0.03916209
"cg00436603",0.648224468
"cg00441136",0.915303512
"cg00441382",0.030635567
"cg00443307",0.632158125
"cg00445824",0.108639035
"cg00446235",0.176269383
"cg00447208",0.424294001
"cg00448720",0.706828642
"cg00449941",0.057214043
"cg00451635",0.34883274
"cg00453193",0.035874918
"cg00453258",0.731254712
"cg00459975",0.048377093
"cg00461841",0.676205927
"cg00462311",0.111473824
"cg00462994",0.0875787
"cg00463202",0.790379265
"cg00463577",0.094848947
"cg00463848",0.793130168
"cg00464269",0.033909077
"cg00465284",0.060343007
"cg00465846",0.030867698
"cg00466249",0.456993735
"cg00466436",0.545284058
"cg00466492",0.716894471
"cg00466544",0.039030447
"cg00468146",0.118562685
"cg00469635",0.018898481
"cg00471562",0.039210339
"cg00472136",0.831859455
"cg00472814",0.046638078
"cg00474004",0.736255205
"cg00474209",0.070996822
"cg00475955",0.024983028
"cg00476577",0.156193836
"cg00476580",0.030970867
"cg00479269",0.061714021
"cg00480115",0.659902948
"cg00480209",0.037073407
"cg00480356",0.154516188
"cg00481227",0.203145375
"cg00483154",0.034270732
"cg00485296",0.028280295
"cg00485380",0.045913976
"cg00487159",0.046279071
"cg00488300",0.87182868
"cg00488364",0.720946787
"cg00488718",0.045501094
"cg00489401",0.151157543
"cg00491404",0.794355112
"cg00491839",0.083652014
"cg00493400",0.040403307
"cg00495415",0.038177138
"cg00495442",0.072954321
"cg00495491",0.774944456
"cg00496170",0.036086559
"cg00497084",0.830599559
"cg00497251",0.075578464
"cg00498305",0.276940251
"cg00498604",0.138427642
"cg00499599",0.047507794
"cg00499822",0.353838677
"cg00500400",0.06369442
"cg00501366",0.790729552
"cg00502442",0.027354772
"cg00503458",0.081383863
"cg00503840",0.347565245
"cg00504595",0.306002478
"cg00509616",0.143465409
"cg00509670",0.283578874
"cg00510787",0.155807557
"cg00510956",0.866086838
"cg00511475",0.362747161
"cg00512031",0.824202888
"cg00512279",0.061070505
"cg00512374",0.046675279
"cg00513220",0.078137389
"cg00513467",0.066323655
"cg00514407",0.10911146
"cg00514895",0.066699403
"cg00515905",0.873291445
"cg00516481",0.215841123
"cg00518911",0.626064683
"cg00518989",0.036814196
"cg00519208",0.678332592
"cg00519627",0.025160963
"cg00520135",0.791291593
"cg00520708",0.174948513
"cg00521434",0.851618624
"cg00521598",0.06837283
"cg00522034",0.017320718
"cg00522316",0.056505324
"cg00524288",0.056353089
"cg00528052",0.02981747
"cg00528967",0.02314345
"cg00532335",0.523731466
"cg00532890",0.067682252
"cg00534274",0.257198843
"cg00534856",0.885725629
"cg00536175",0.838185191
"cg00537910",0.879600314
"cg00539322",0.720284165
"cg00539716",0.067309306
"cg00539955",0.727118499
"cg00540544",0.038804746
"cg00540769",0.272255859
"cg00542846",0.109799053
"cg00544557",0.890794055
"cg00545573",0.107594698
"cg00546491",0.278689535
"cg00546897",0.476393896
"cg00547018",0.180946282
"cg00547789",0.142630068
"cg00547829",0.052713884
"cg00548060",0.774641122
"cg00548268",0.314871911
"cg00550617",0.556079931
"cg00551244",0.815363484
"cg00554173",0.74651429
"cg00554250",0.472517831
"cg00554682",0.057945193
"cg00554702",0.169605027
"cg00556408",0.807611337
"cg00557354",0.057349249
"cg00559473",0.059162395
"cg00560119",0.053192923
"cg00563229",0.03525689
"cg00563845",0.237108287
"cg00563926",0.248774114
"cg00563932",0.691379459
"cg00564163",0.188067681
"cg00565075",0.167800924
"cg00565688",0.130438096
"cg00566759",0.055330058
"cg00567479",0.050411412
"cg00567749",0.089866954
"cg00568128",0.072944515
"cg00568792",0.077500332
"cg00569620",0.06473976
"cg00571634",0.168246131
"cg00572797",0.964236305
"cg00573606",0.686101649
"cg00575744",0.147755142
"cg00576250",0.095688578
"cg00577167",0.617404283
"cg00577464",0.045282845
"cg00578575",0.094033557
"cg00579393",0.778823521
"cg00579402",0.712261528
"cg00581156",0.034511172
"cg00582372",0.584229935
"cg00582628",0.288371038
"cg00584022",0.04943028
"cg00585790",0.467317514
"cg00585846",0.052021402
"cg00586909",0.119660146
"cg00587613",0.784478242
"cg00592315",0.769019644
"cg00594118",0.083508733
"cg00594952",0.588328157
"cg00596686",0.768670326
"cg00597076",0.612127686
"cg00598858",0.038877846
"cg00600110",0.903490455
"cg00600684",0.840145893
"cg00601486",0.89724169
"cg00602891",0.076043651
"cg00603172",0.735412642
"cg00605270",0.048158341
"cg00609097",0.035265401
"cg00611397",0.854768458
"cg00612467",0.063002283
"cg00613255",0.832416263
"cg00613344",0.82435046
"cg00614413",0.590964164
"cg00615241",0.33944301
"cg00615377",0.145451028
"cg00615915",0.117669031
"cg00616129",0.083109065
"cg00616135",0.500162091
"cg00616369",0.028730844
"cg00617305",0.048167901
"cg00618396",0.25471554
"cg00619207",0.515397699
"cg00620024",0.680403431
"cg00620223",0.062068268
"cg00620629",0.033554207
"cg00620857",0.888527388
"cg00622552",0.191475553
"cg00622677",0.070036306
"cg00623593",0.866867982
"cg00625425",0.681022584
"cg00625653",0.072593563
"cg00626119",0.679264399
"cg00626466",0.546016048
"cg00627233",0.661901963
"cg00627286",0.077092421
"cg00629217",0.746517181
"cg00629585",0.286754414
"cg00630164",0.11537408
"cg00630249",0.037714118
"cg00630583",0.026250206
"cg00631230",0.039052057
"cg00633969",0.853226629
"cg00634577",0.05841302
"cg00635481",0.028808759
"cg00636639",0.03735082
"cg00638514",0.080325691
"cg00642303",0.03932909
"cg00643392",0.263714995
"cg00644033",0.900594386
"cg00645224",0.040134823
"cg00645579",0.698561781
"cg00645922",0.045903144
"cg00646140",0.104725097
"cg00646492",0.103096039
"cg00647741",0.305512205
"cg00648153",0.06200057
"cg00648883",0.409157633
"cg00650762",0.025248054
"cg00650876",0.028639544
"cg00651216",0.109293467
"cg00653387",0.105423217
"cg00654814",0.107819601
"cg00654816",0.044113563
"cg00655307",0.066212282
"cg00655779",0.046458466
"cg00657095",0.097495109
"cg00657582",0.067908734
"cg00658007",0.412860678
"cg00658626",0.067258073
"cg00659129",0.773552991
"cg00659953",0.030058173
"cg00660989",0.194291504
"cg00661202",0.027771871
"cg00661485",0.556120951
"cg00662556",0.170443081
"cg00662775",0.27199462
"cg00665395",0.051424896
"cg00666446",0.083862977
"cg00666746",0.205751688
"cg00668685",0.836643618
"cg00669623",0.068078905
"cg00669856",0.10514268
"cg00671161",0.01889903
"cg00672638",0.090425592
"cg00673020",0.491759035
"cg00673191",0.360367674
"cg00674922",0.061761429
"cg00676660",0.043091039
"cg00677811",0.043980591
"cg00678539",0.194335192
"cg00679556",0.675444099
"cg00679738",0.032712937
"cg00682653",0.029416288
"cg00684178",0.67441021
"cg00685836",0.042733222
"cg00686022",0.882177732
"cg00686623",0.050493547
"cg00687674",0.349772602
"cg00687686",0.057796114
"cg00688421",0.053415958
"cg00689010",0.699999931
"cg00689014",0.652433903
"cg00689340",0.350152936
"cg00690049",0.256472742
"cg00690280",0.706360095
"cg00690893",0.084639804
"cg00691625",0.82998291
"cg00691822",0.434878119
"cg00692549",0.093876859
"cg00693307",0.780424809
"cg00695416",0.071079982
"cg00696900",0.02978945
"cg00698688",0.609992338
"cg00702231",0.723350805
"cg00702729",0.890195866
"cg00704310",0.046724288
"cg00704909",0.043551334
"cg00705255",0.384243271
"cg00706536",0.595935119
"cg00707317",0.056138871
"cg00708598",0.197586188
"cg00708642",0.05560907
"cg00711916",0.077898792
"cg00712898",0.021042941
"cg00714377",0.297627192
"cg00717862",0.060654993
"cg00718440",0.063989666
"cg00718513",0.580312173
"cg00718748",0.040565091
"cg00720072",0.046929774
"cg00720137",0.028655932
"cg00720723",0.059031013
"cg00722300",0.736078128
"cg00724662",0.066780768
"cg00725143",0.031142053
"cg00725635",0.108144163
"cg00725777",0.777809721
"cg00727590",0.22430633
"cg00727947",0.904544998
"cg00728317",0.10105732
"cg00728398",0.028760081
"cg00728602",0.05065359
"cg00729275",0.640305924
"cg00729541",0.042852572
"cg00729708",0.629415551
"cg00729875",0.206264862
"cg00730260",0.906901598
"cg00731459",0.028043956
"cg00733682",0.031248671
"cg00734993",0.034856019
"cg00736326",0.050430816
"cg00737514",0.047852801
"cg00739120",0.287844191
"cg00741717",0.751852574
"cg00743372",0.037654211
"cg00744433",0.630166808
"cg00745543",0.894310953
"cg00745735",0.704247409
"cg00746083",0.042236642
"cg00746130",0.071794089
"cg00746981",0.07962277
"cg00747849",0.212710036
"cg00750606",0.629930297
"cg00751288",0.032680454
"cg00754253",0.413060961
"cg00754617",0.698074007
"cg00755043",0.066854996
"cg00755709",0.777586089
"cg00756058",0.023475217
"cg00756887",0.708235009
"cg00757070",0.468560359
"cg00757952",0.786807292
"cg00761755",0.031977043
"cg00762512",0.04872597
"cg00763679",0.056697585
"cg00763889",0.77524451
"cg00766729",0.04484845
"cg00766889",0.047704223
"cg00767581",0.352094367
"cg00768439",0.101997583
"cg00769470",0.78396435
"cg00769520",0.048202602
"cg00770279",0.027009416
"cg00770871",0.020753957
"cg00772000",0.150798492
"cg00775197",0.081976822
"cg00777121",0.165323887
"cg00777555",0.033794988
"cg00778920",0.073745139
"cg00779924",0.158755469
"cg00782174",0.059919378
"cg00782854",0.047916682
"cg00783759",0.022715466
"cg00784357",0.037270767
"cg00791249",0.07445592
"cg00792687",0.050416163
"cg00792740",0.056701734
"cg00792849",0.122156682
"cg00793648",0.796502842
"cg00793774",0.036163846
"cg00795268",0.878581499
"cg00795812",0.436076545
"cg00796728",0.057436624
"cg00798206",0.064077526
"cg00799727",0.590025618
"cg00800095",0.826726688
"cg00804048",0.06720008
"cg00804392",0.320469794
"cg00806490",0.130656689
"cg00807586",0.096561277
"cg00808492",0.808246487
"cg00810473",0.040367846
"cg00810495",0.085814709
"cg00811081",0.072600877
"cg00812502",0.023085435
"cg00814580",0.132980758
"cg00815440",0.014764538
"cg00815583",0.082335397
"cg00815605",0.091776239
"cg00816620",0.312791823
"cg00818693",0.046294515
"cg00818872",0.061255624
"cg00819310",0.757341042
"cg00819362",0.828159248
"cg00819696",0.024765456
"cg00821764",0.029750593
"cg00822607",0.061818081
"cg00823148",0.800642195
"cg00824109",0.040880805
"cg00825031",0.024585302
"cg00826384",0.057705911
"cg00827369",0.042906578
"cg00828602",0.074765295
"cg00830029",0.446743551
"cg00830393",0.049035399
"cg00831028",0.042971454
"cg00832517",0.079937043
"cg00832994",0.063590869
"cg00833393",0.052229825
"cg00833777",0.504754903
"cg00834796",0.094747886
"cg00834958",0.068706056
"cg00836605",0.034804758
"cg00837103",0.403403786
"cg00838150",0.047129444
"cg00839584",0.383589425
"cg00839802",0.047325084
"cg00840403",0.183306407
"cg00840516",0.566082411
"cg00841581",0.041622339
"cg00842351",0.198233671
"cg00845900",0.901456651
"cg00846036",0.308625294
"cg00848394",0.042814572
"cg00848397",0.040978949
"cg00848461",0.679013464
"cg00848728",0.045114673
"cg00849368",0.080018951
"cg00850538",0.526401773
"cg00852964",0.407661913
"cg00853068",0.190190356
"cg00854637",0.058794051
"cg00854995",0.055367278
"cg00856375",0.047150902
"cg00858899",0.094417123
"cg00859193",0.032536103
"cg00859655",0.827154064
"cg00861635",0.054741903
"cg00862041",0.300714191
"cg00862290",0.686897465
"cg00862770",0.033269136
"cg00864867",0.06127024
"cg00870662",0.049772879
"cg00871453",0.063337434
"cg00873037",0.057170075
"cg00873937",0.052193415
"cg00874863",0.657321457
"cg00875272",0.092321204
"cg00876704",0.038368463
"cg00877887",0.053739749
"cg00877964",0.040333577
"cg00881086",0.057121791
"cg00881370",0.900355214
"cg00882451",0.830188743
"cg00882832",0.063648363
"cg00884221",0.073195445
"cg00884529",0.096221522
"cg00885506",0.072354244
"cg00886554",0.056970939
"cg00887101",0.088586721
"cg00887547",0.065663094
"cg00887700",0.038199964
"cg00888007",0.045751852
"cg00888479",0.097405541
"cg00888561",0.051432483
"cg00890257",0.049894825
"cg00891278",0.137534055
"cg00891541",0.441394695
"cg00892393",0.709251745
"cg00892798",0.054906889
"cg00893242",0.069856388
"cg00893636",0.038239648
"cg00893987",0.049488774
"cg00894577",0.483626207
"cg00895324",0.732103094
"cg00896220",0.783664179
"cg00897329",0.063173085
"cg00899086",0.05633005
"cg00899641",0.03980908
"cg00899659",0.430735889
"cg00901493",0.065148201
"cg00901652",0.061681522
"cg00901683",0.031807804
"cg00901704",0.054790879
"cg00901766",0.070985892
"cg00902195",0.064610689
"cg00903242",0.144819188
"cg00903375",0.043237137
"cg00904483",0.901475333
"cg00904574",0.039315074
"cg00905170",0.028297586
"cg00906183",0.04445678
"cg00908551",0.071034694
"cg00910067",0.133541085
"cg00910168",0.640979513
"cg00911351",0.171203601
"cg00911873",0.779025514
"cg00912191",0.120927134
"cg00912942",0.900939775
"cg00915206",0.053819496
"cg00915289",0.03536876
"cg00916199",0.036047323
"cg00916635",0.503322484
"cg00917893",0.04111196
"cg00918005",0.800141948
"cg00918794",0.060540173
"cg00919857",0.109891143
"cg00920960",0.173239993
"cg00922727",0.069786561
"cg00925229",0.039418578
"cg00925717",0.130802707
"cg00929606",0.298800213
"cg00929855",0.075435298
"cg00930078",0.051320727
"cg00930194",0.380977892
"cg00930873",0.082057499
"cg00931491",0.407270172
"cg00932276",0.173919619
"cg00933411",0.498494228
"cg00935364",0.717426351
"cg00935388",0.902505099
"cg00935430",0.055595683
"cg00936626",0.534803571
"cg00939965",0.743199536
"cg00940278",0.035463979
"cg00940891",0.028275254
"cg00941229",0.0401233
"cg00941549",0.794907291
"cg00943245",0.793829456
"cg00943909",0.521552964
"cg00943950",0.058832223
"cg00945507",0.215025783
"cg00945862",0.873128236
"cg00947019",0.044703559
"cg00947275",0.13342211
"cg00948500",0.561851684
"cg00948524",0.054564103
"cg00949442",0.134806134
"cg00949554",0.118628245
"cg00950418",0.042510362
"cg00950621",0.03651342
"cg00951770",0.74748119
"cg00953256",0.734236827
"cg00953277",0.047038227
"cg00954003",0.023874864
"cg00954566",0.031183512
"cg00955230",0.062938314
"cg00955451",0.694826564
"cg00958517",0.037577686
"cg00958560",0.648146287
"cg00960702",0.037217087
"cg00962459",0.702150234
"cg00962635",0.239091545
"cg00962799",0.718855771
"cg00964109",0.037348585
"cg00967316",0.765664333
"cg00968475",0.209926633
"cg00968931",0.55552883
"cg00969271",0.841217268
"cg00969446",0.569524603
"cg00970325",0.11147582
"cg00970385",0.158391125
"cg00971396",0.051592876
"cg00973286",0.078071041
"cg00973334",0.051066314
"cg00973677",0.042653696
"cg00974864",0.641080184
"cg00976054",0.075789351
"cg00977690",0.097301015
"cg00979348",0.077893307
"cg00980978",0.063861419
"cg00981643",0.261857618
"cg00983520",0.216900164
"cg00983899",0.635116669
"cg00984602",0.145249353
"cg00986320",0.720785927
"cg00987015",0.507771752
"cg00987379",0.06342599
"cg00988256",0.85505563
"cg00995065",0.603392515
"cg00995152",0.595137955
"cg00995327",0.064376535
"cg00995520",0.343604495
"cg00997424",0.078791328
"cg01000094",0.838596057
"cg01001286",0.367552988
"cg01003992",0.046052682
"cg01007201",0.859618975
"cg01009664",0.126482577
"cg01013324",0.058175494
"cg01015871",0.67638741
"cg01015879",0.056522663
"cg01017147",0.26585264
"cg01021485",0.022707851
"cg01025762",0.091645221
"cg01025842",0.065448962
"cg01026744",0.644886285
"cg01027739",0.078215842
"cg01027805",0.073444506
"cg01029592",0.629819547
"cg01031251",0.644669114
"cg01031400",0.068541894
"cg01033160",0.05359859
"cg01033938",0.185867626
"cg01035238",0.797878238
"cg01035422",0.805232772
"cg01036012",0.788944913
"cg01036148",0.04284795
"cg01036173",0.041956726
"cg01036779",0.177551175
"cg01037108",0.057487596
"cg01040062",0.048428302
"cg01040759",0.049493531
"cg01040850",0.656826203
"cg01041367",0.084628061
"cg01043330",0.204562401
"cg01043831",0.782456067
"cg01044662",0.163338196
"cg01044722",0.056074075
"cg01045423",0.139317759
"cg01046174",0.037262872
"cg01047414",0.05328943
"cg01048931",0.041879777
"cg01049530",0.059149757
"cg01050433",0.082285799
"cg01053621",0.806274285
"cg01055695",0.797378903
